"1","Good case, Excellent value.","Positive"
"2","Great for the jawbone.","Positive"
"3","Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!","Negative"
"4","The mic is great.","Positive"
"5","I have to jiggle the plug to get it to line up right to get decent volume.","Negative"
"6","If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.","Negative"
"7","If you are Razr owner...you must have this!","Positive"
"8","Needless to say, I wasted my money.","Negative"
"9","What a waste of money and time!.","Negative"
"10","And the sound quality is great.","Positive"
"11","He was very impressed when going from the original battery to the extended battery.","Positive"
"12","If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.","Negative"
"13","Very good quality though","Positive"
"14","The design is very odd, as the ear ""clip"" is not very comfortable at all.","Negative"
"15","Highly recommend for any one who has a blue tooth phone.","Positive"
"16","I advise EVERYONE DO NOT BE FOOLED!","Negative"
"17","So Far So Good!.","Positive"
"18","Works great!.","Positive"
"19","It clicks into place in a way that makes you wonder how long that mechanism would last.","Negative"
"20","I went on Motorola's website and followed all directions, but could not get it to pair again.","Negative"
"21","I bought this to use with my Kindle Fire and absolutely loved it!","Positive"
"22","The commercials are the most misleading.","Negative"
"23","I have yet to run this new battery below two bars and that's three days without charging.","Positive"
"24","I bought it for my mother and she had a problem with the battery.","Negative"
"25","Great Pocket PC / phone combination.","Positive"
"26","I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.","Positive"
"27","I didn't think that the instructions provided were helpful to me.","Negative"
"28","People couldnt hear me talk and I had to pull out the earphone and talk on the phone.","Negative"
"29","Doesn't hold charge.","Negative"
"30","This is a simple little phone to use, but the breakage is unacceptible.","Negative"
"31","This product is ideal for people like me whose ears are very sensitive.","Positive"
"32","It is unusable in a moving car at freeway speed.","Negative"
"33","I have two more years left in this contract and I hate this phone.","Negative"
"34","Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended","Positive"
"35","You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.","Negative"
"36","It has kept up very well.","Positive"
"37","Poor Talk Time Performance.","Negative"
"38","The case is great and works fine with the 680.","Positive"
"39","worthless product.","Negative"
"40","It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.","Positive"
"41","I was not impressed by this product.","Negative"
"42","Nice headset priced right.","Positive"
"43","I only hear garbage for audio.","Negative"
"44","Excellent bluetooth headset.","Positive"
"45","It has all the features I want","Positive"
"46","Who in their right mind is gonna buy this battery?.","Negative"
"47","AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.","Negative"
"48","This case seems well made.","Positive"
"49","Disappointed with battery.","Negative"
"50","Not loud enough and doesn't turn on like it should.","Negative"
"51","good protection and does not make phone too bulky.","Positive"
"52","A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.","Positive"
"53","This phone is pretty sturdy and I've never had any large problems with it.","Positive"
"54","I love this thing!","Positive"
"55","Everything about it is fine and reasonable for the price i.e.","Positive"
"56","VERY DISAPPOINTED.","Negative"
"57","I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!","Positive"
"58","I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.","Positive"
"59","The buttons for on and off are bad.","Negative"
"60","Essentially you can forget Microsoft's tech support.","Negative"
"61","I really recommend this faceplates since it looks very nice, elegant and cool.","Positive"
"62","These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.","Positive"
"63","Buy a different phone - but not this.","Negative"
"64","You have to hold the phone at a particular angle for the other party to hear you clearly.","Negative"
"65","The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.","Negative"
"66","A week later after I activated it, it suddenly died.","Negative"
"67","It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.","Positive"
"68","Great for iPODs too.","Positive"
"69","This device is great in several situations:1.)","Positive"
"70","Mic Doesn't work.","Negative"
"71","Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.","Negative"
"72","Great choice!","Positive"
"73","Nice docking station for home or work.","Positive"
"74","This is a beautiful phone.","Positive"
"75","Love this product.","Positive"
"76","Do Not Buy for D807...wrongly advertised for D807.","Negative"
"77","This is a great little item.","Positive"
"78","I love this phone , It is very handy and has a lot of features .","Positive"
"79","I purchased this and within 2 days it was no longer working!!!!!!!!!","Negative"
"80","I wear it everyday and it holds up very well.","Positive"
"81","Not a good bargain.","Negative"
"82","Well packaged, arrived on time, and works as intended.","Positive"
"83","The battery runs down quickly.","Negative"
"84","This item worked great, but it broke after 6 months of use.","Negative"
"85","The headsets are easy to use and everyone loves them.","Positive"
"86","This phone works great.","Positive"
"87","The construction of the headsets is poor.","Negative"
"88","Product was excellent and works better than the verizon one and Boy was it cheaper!","Positive"
"89","The phone loads super!","Positive"
"90","For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.","Negative"
"91","Made very sturdy.","Positive"
"92","Worked great!.","Positive"
"93","The ear buds only play music in one ear.","Negative"
"94","Dont waste your money...","Negative"
"95","Will order from them again!","Positive"
"96","If you plan to use this in a car forget about it.","Negative"
"97","I found this product to be waaay too big.","Negative"
"98","Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.","Positive"
"99","I'm very disappointed with my decision.","Negative"
"100","Integrated seamlessly with the Motorola RAZR phone.","Positive"
"101","Buyer Beware, you could flush money right down the toilet.","Negative"
"102","Definitely a bargain.","Positive"
"103","The price was very good and with the free shipping and all it was a good purchase.","Positive"
"104","I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.","Negative"
"105","Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.","Positive"
"106","That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).","Negative"
"107","I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.","Positive"
"108","The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.","Negative"
"109","I purcashed this for the car charger and it does not work.","Negative"
